address,direction,street,crossStreet,intersection,Location 1,2010 Census Neighborhoods,2010 Census Wards Precincts,Zip Codes
GARRISON BLVD & WABASH AVE,E/B,"Garrison 
",Wabash Ave,"Garrison 
 & Wabash Ave","(39.341209, -76.683117)",252,63,27295
HILLEN ST & FORREST ST,W/B,"Hillen 
",Forrest St,"Hillen 
 & Forrest St","(39.29686, -76.605532)",179,108,13645
EDMONDSON AVE & N ATHOL AVE,E/B,"Edmonson
",Woodbridge Ave,"Edmonson
  & Woodbridge Ave","(39.293453, -76.689391)",213,75,27950
YORK RD & GITTINGS AVE,S/B,"York Rd 
",Gitting Ave,"York Rd 
 & Gitting Ave","(39.370493, -76.609812)",37,270,14009
RUSSELL ST & W HAMBURG ST,S/B,"Russell
",Hamburg St,"Russell
  & Hamburg St","(39.279819, -76.623911)",250,178,27953
S MARTIN LUTHER KING JR BLVD & W PRATT ST,S/B,"MLK Jr. Blvd 
",Pratt St,"MLK Jr. Blvd 
 & Pratt St","(39.286027, -76.627846)",11,168,27953
ORLEANS ST & N LINWOOD AVE,E/B,Orleans,Linwood Ave,Orleans   & Linwood Ave,"(39.295866, -76.576427)",141,123,27935
E NORTHERN PKWY & SPRINGLAKE WAY,W/B,"Northern Pkwy
",Springlake Way,"Northern Pkwy
  & Springlake Way","(39.364311, -76.617699)",116,271,14009
W COLD SPRING LN & ROLAND AVE,E/B,"Cold Spring
",Roland Ave,"Cold Spring
  & Roland Ave","(39.343906, -76.635426)",214,236,14004
E NORTHERN PKWY & YORK RD,W/B,"Northern Pkwy
",York Road,"Northern Pkwy
  & York Road","(39.365146, -76.609922)",132,257,14009
N CHARLES ST & E LAKE AVE,S/B,Charles,Lake Ave,Charles & Lake Ave,"(39.369054, -76.625827)",235,272,14009
W FAYETTE ST & N LIBERTY ST,W/B,"Fayette
",Liberty Heights Ave,"Fayette
  & Liberty Heights Ave","(39.290504, -76.617661)",65,6,13642
W NORTHERN PKWY & GREENSPRING AVE,W/B,Northern Pkwy,Greenspring Ave,Northern Pkwy  & Greenspring Ave,"(39.355161, -76.660506)",168,251,27295
EDMONDSON AVE & N ATHOL AVE,W/B,"Edmonson 
",Woodbridge Ave,"Edmonson 
 & Woodbridge Ave","(39.293593, -76.689399)",213,75,27950
MOUNT ROYAL TER & W NORTH AVE,S/B,"Mt Royal
",North,"Mt Royal
 & North","(39.310871, -76.625126)",210,16,27301
E NORTHERN PKWY & WAVERLY WAY,W/B,Northern Pkwy,Waverly St,Northern Pkwy  & Waverly St,"(39.367052, -76.581074)",64,259,28564
PULASKI HWY & MORAVIA PARK DR,W/B,"
Pulaski Hwy 
",Moravia Park Drive,"
Pulaski Hwy 
 & Moravia Park Drive","(39.308644, -76.532366)",203,140,28559
PULASKI HWY & NORTH POINT RD,E/B,"Pulaski 
",North Point Blvd,"Pulaski 
 & North Point Blvd","(39.304328, -76.53958)",203,140,28559
LOCH RAVEN BLVD & WALKER AVE,N/B,"Loch Raven
",Walker Ave,"Loch Raven
  & Walker Ave","(39.37006, -76.58318)",120,269,28564
TAMARIND RD & W COLD SPRING LN,E/B,"Tamarind
",Coldspring Lane,"Tamarind
  & Coldspring Lane","(39.343899, -76.651941)",42,251,14001
E LOMBARD ST & S GAY ST,W/B,"Lombard 
",Gay St,"Lombard 
 & Gay St","(39.287766, -76.608748)",65,6,13645
LIGHT ST & E PRATT ST,S/B,"Light SB 
",Pratt St,"Light SB 
 & Pratt St","(39.286542, -76.613549)",241,3,13645
W MOUNT ROYAL AVE & W NORTH AVE,N/B,"Mt Royal
",North,"Mt Royal
 & North","(39.310767, -76.62473)",21,103,27301
E PATAPSCO AVE & 4TH ST,W/B,"Patapsco  
",4th St,"Patapsco  
 & 4th St","(39.237269, -76.605404)",26,142,27937
FORT SMALLWOOD RD & FORT ARMISTEAD RD,S/B,"Ft Smallwood
",Fort Armstead,"Ft Smallwood
  & Fort Armstead","(39.199913, -76.555977)",104,37,27939
LIBERTY HTS & HILLSDALE RD,W/B,"Liberty Hghts
",Hillsdale Ave,"Liberty Hghts
  & Hillsdale Ave","(39.330445, -76.69451)",118,289,13995
LIBERTY HEIGHTS AVE & N DUKELAND ST,E/B,"Liberty Hghts
",Dukeland St,"Liberty Hghts
  & Dukeland St","(39.322639, -76.666634)",103,46,27297
GWYNNS FLS & GARRISON BLVD,W/B,"Gwynns Falls 
",Garrison Blvd,"Gwynns Falls 
  & Garrison Blvd","(39.313579, -76.676225)",164,45,27297
RUSSELL ST & BAYARD ST,S/B,"Russell 
",Bayard St,"Russell 
 & Bayard St","(39.273468, -76.628739)",32,178,27953
N PRESIDENT ST & E FAYETTE ST,S/B,President,Fayette St,President  & Fayette St,"(39.290624, -76.606665)",65,6,13645
POTEE ST & TALBOTT ST,S/B,"Potee
",Talbot,"Potee
  & Talbot","(39.236486, -76.612211)",26,144,27937
ERDMAN AVE & N MACON ST,W/B,Erdman,Macon St,Erdman  & Macon St,"(39.306967, -76.559312)",6,145,13987
PULASKI HWY & E MONUMENT ST,E/B,"Pulaski Hwy 
",Monument St,"Pulaski Hwy 
  & Monument St","(39.299798, -76.554251)",181,140,13987
PARK HEIGHTS AVE & VIOLET AVE,N/B,Park Heights,Voilet Ave,Park Heights  & Voilet Ave,"(39.330713, -76.65975)",187,72,27295
HARFORD RD & WALTHER AVE,S/B,Harford,Walther Ave,Harford  & Walther Ave,"(39.335308, -76.575185)",158,190,27291
EDMONDSON AVE & N HILTON ST,E/B,Edmonson,Hilton St,Edmonson  & Hilton St,"(39.294061, -76.67276)",269,76,27950
W FRANKLIN ST & N FRANKLINTOWN RD,E/B,"Franklin 
",Franklintown Road,"Franklin 
  & Franklintown Road","(39.293086, -76.662362)",197,77,27632
S MARTIN LUTHER KING JR BLVD & WASHINGTON BLVD,N/B,MLK Jr. Blvd.,Washington Blvd,MLK Jr. Blvd.  & Washington Blvd,"(39.28346, -76.626114)",194,1,27953
WALTHER AVE & GLENMORE AVE,N/B,"Walther 
",Glenmore,"Walther 
 & Glenmore","(39.35354, -76.542494)",217,264,13991
HILLEN RD & ARGONNE DR,S/B,Hillen Rd,Argonne Drive,Hillen Rd  & Argonne Drive,"(39.339991, -76.588021)",111,187,27307
HARFORD RD & E NORTH AVE,N/B,"Harford Rd
",North Ave,"Harford Rd
  & North Ave","(39.311936, -76.599358)",73,193,26956
E COLD SPRING LN & LOCH RAVEN BLVD,W/B,"Cold Spring
",Loch Raven Blvd,"Cold Spring
  & Loch Raven Blvd","(39.346045, -76.592008)",173,212,27307
FREDERICK AVE & S CATHERINE ST,E/B,"Fredrick Ave
",Catherine Ave,"Fredrick Ave
 & Catherine Ave","(39.283394, -76.655929)",225,279,27632
PARK HEIGHTS AVE & HAYWARD AVE,S/B,Park Heights,Hayward Ave,Park Heights   & Hayward Ave,"(39.34992, -76.678871)",200,244,27295
REISTERSTOWN RD & FALLSTAFF RD,S/B,Reisterstown,Fallstaff Road,Reisterstown   & Fallstaff Road,"(39.362135, -76.710243)",48,60,27295
S HANOVER ST & E CROMWELL ST,S/B,"Hanover 
",Cromwell St, &,"(39.26206, -76.614587)",227,173,27953
EDMONDSON AVE & COOKS LN,E/B,Edmonson,Cooks Lane,Edmonson  & Cooks Lane,"(39.292368, -76.701706)",119,280,27950
PARK HEIGHTS AVE & HAYWARD AVE,N/B,Park Heights,Hayward Ave,Park Heights   & Hayward Ave,"(39.34992, -76.678871)",200,244,27295
SINCLAIR LN & SHANNON DR,W/B,"Sinclair 
",Shannon Drive,"Sinclair 
 & Shannon Drive","(39.317503, -76.555674)",139,150,26956
LIBERTY HTS & HILLSDALE RD,E/B,"Liberty Hghts
",Hillsdale Ave,"Liberty Hghts
  & Hillsdale Ave","(39.330445, -76.69451)",118,289,13995
W FRANKLIN ST & N PULASKI ST,W/B,Franklin,Pulaski St,Franklin  & Pulaski St,"(39.293708, -76.650384)",153,80,27632
